name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name
F. Ricca,884000,25,Uruguay,45,63,68,72,73,0,substitute,18,4400000,Club Brugge
M. Krmencçak,1144000,27,Czech Republic,71,58,70,25,20,0,substitute,9,4700000,Club Brugge
D. Padelli,2288000,34,Italy,0,0,0,12,12,76,goalkeeper,27,1800000,Inter Milan
T. Sippel,1040000,32,Germany,0,0,0,15,12,69,goalkeeper,21,2400000,Borussia Mionchengladbach
K. Mitroglou,1612000,32,Greece,76,65,65,18,10,0,substitute,36,3200000,Marseille
D. Drinkwater,2964000,30,England,66,73,73,71,70,0,substitute,42,3700000,Chelsea
V. Vasin,26000,31,Russia,41,58,45,74,72,0,substitute,5,3000000,PFC CSKA Moscow
C. Grenier,1820000,29,France,71,78,74,59,49,0,substitute,8,3800000,Rennes
J. Martin,1716000,30,France,69,74,72,72,68,0,substitute,28,3700000,Rennes
Alan Patrick,26000,29,Brazil,71,72,76,59,42,0,midfielder,21,3900000,Shakhtar Donetsk
H. Soudani,26000,32,Algeria,74,69,75,37,28,0,substitute,2,3100000,Olympiacos
Fran Sol,26000,28,Spain,74,56,67,25,19,0,substitute,9,4100000,Dynamo Kyiv
S. ozbayrakli,2132000,30,Turkey,60,69,71,70,68,0,substitute,2,3200000,Galatasaray
Dalbert,3120000,26,Brazil,57,68,75,74,72,0,substitute,29,4300000,Inter Milan
C. de Pena,26000,28,Uruguay,61,71,73,26,28,0,substitute,14,4000000,Dynamo Kyiv
Pedri,520000,17,Spain,61,71,76,55,53,0,substitute,25,6000000,Barcelona
Doda,26000,21,Brazil,55,62,74,68,64,0,defender,98,6500000,Shakhtar Donetsk
L. Pellegrini,1508000,21,Italy,35,62,69,72,69,0,substitute,17,6500000,Juventus
G. Tsitaishvili,26000,19,Ukraine,60,59,81,35,37,0,substitute,11,6500000,Dynamo Kyiv
Jota,364000,21,Portugal,65,64,78,31,25,0,substitute,73,6000000,Benfica
Eric Garcaa,1664000,19,Spain,34,54,62,74,70,0,substitute,50,5500000,Manchester City
Marcos Antonio,26000,20,Brazil,63,69,73,54,52,0,midfielder,8,6000000,Shakhtar Donetsk
Nuno Tavares,312000,20,Portugal,52,64,74,72,66,0,substitute,71,5500000,Benfica
M. Shaparenko,26000,21,Ukraine,63,69,72,67,66,0,midfielder,10,5500000,Dynamo Kyiv
Bruno Fuchs,26000,21,Brazil,56,64,67,73,69,0,substitute,3,4900000,PFC CSKA Moscow
I. Oblyakov,26000,21,Russia,67,75,76,54,55,0,midfielder,98,5000000,PFC CSKA Moscow
H. Wolf,936000,21,Austria,67,67,77,36,35,0,substitute,11,5000000,Borussia Mionchengladbach
A. Fein,1404000,21,Germany,57,68,72,72,68,0,substitute,30,4700000,Bayern Munich
D. Nuaez,416000,21,Uruguay,73,50,69,22,30,0,substitute,77,5000000,Benfica
Maycon,26000,22,Brazil,67,71,70,67,64,0,substitute,27,4700000,Shakhtar Donetsk
M. Loum,416000,23,Senegal,53,59,61,72,64,0,substitute,15,4400000,Porto
J. Onguene,780000,22,Cameroon,30,42,58,73,71,0,substitute,6,4200000,Red Bull Salzburg
I. Akhmetov,26000,22,Russia,58,72,77,62,55,0,substitute,7,4500000,PFC CSKA Moscow
D. Okereke,884000,22,Nigeria,68,55,75,17,15,0,substitute,21,4400000,Club Brugge
N. Lang,468000,21,Netherlands,67,67,75,50,49,0,substitute,27,4400000,Ajax
J. Gelin,1196000,23,France,36,59,62,75,71,0,substitute,26,3800000,Rennes
R. Zhemaletdinov,26000,23,Russia,66,63,74,33,32,0,midfielder,17,4300000,Lokomotiv Moscow
S. Janko,416000,24,Switzerland,49,60,66,66,68,0,substitute,45,3700000,Porto
A. Vallci,780000,24,Austria,49,60,55,72,72,0,substitute,5,3700000,Red Bull Salzburg
G. Bushchan,26000,26,Ukraine,0,0,0,10,11,69,goalkeeper,1,3000000,Dynamo Kyiv
O. aaglayan,1820000,24,Turkey,62,66,75,24,22,0,substitute,77,4100000,Galatasaray
A. Mabil,988000,24,Australia,62,64,73,33,20,0,attacker,11,3900000,Midtjylland
M. Mitrovic,832000,26,Croatia,50,57,59,76,71,0,substitute,15,3400000,Club Brugge
A. Shabanov,26000,28,Ukraine,24,48,37,77,73,0,defender,30,3100000,Dynamo Kyiv
A. Bouchalakis,26000,27,Greece,67,72,68,70,61,0,midfielder,5,3500000,Olympiacos
A. Tashaev,26000,26,Russia,61,71,71,34,41,0,substitute,13,3700000,Spartak Moscow
M. Stekelenburg,260000,37,Netherlands,0,0,0,15,14,73,goalkeeper,1,325000,Ajax
Y. Pele,624000,37,France,0,0,0,13,12,71,goalkeeper,16,325000,Marseille
R. Salin,728000,35,France,0,0,0,13,16,72,goalkeeper,1,850000,Rennes
P. Tschauner,1196000,34,Germany,0,0,0,12,15,71,goalkeeper,13,1400000,RB Leipzig
C. Pinsoglio,1664000,30,Italy,0,0,0,12,13,74,goalkeeper,31,2100000,Juventus
O. Bayram,2184000,28,Turkey,68,73,75,65,63,0,substitute,19,3100000,Galatasaray
P. Farkas,936000,27,Austria,60,65,66,68,70,0,substitute,25,2800000,Red Bull Salzburg
K. Mbappe,8320000,21,France,90,78,90,34,32,0,attacker,7,105500000,Paris Saint-Germain
O. Karavaev,26000,28,Ukraine,54,69,71,59,63,0,substitute,20,3100000,Dynamo Kyiv
R. Gravenberch,208000,18,Netherlands,65,71,76,57,49,0,midfielder,8,4800000,Ajax
Reinier,676000,18,Brazil,68,64,75,47,40,0,substitute,20,4900000,Borussia Dortmund
B. Gilmour,1300000,19,Scotland,54,70,73,68,57,0,substitute,23,5000000,Chelsea
T. Kouassi,520000,18,France,37,55,62,73,68,0,substitute,23,4600000,Bayern Munich
Fernando,26000,21,Brazil,61,60,77,27,29,0,substitute,99,4200000,Shakhtar Donetsk
Diogo Leite,312000,21,Portugal,38,45,55,74,70,0,substitute,4,3800000,Porto
M. Cuisance,1404000,20,France,67,77,75,61,55,0,substitute,11,4000000,Bayern Munich
N. Okafor,676000,20,Switzerland,68,65,74,25,20,0,substitute,77,4100000,Red Bull Salzburg
S. Koita,728000,20,Mali,72,57,75,29,27,0,attacker,7,4100000,Red Bull Salzburg
B. Sutalo,988000,20,Croatia,31,51,54,74,67,0,substitute,4,3800000,Atalanta
A. Sigurasson,26000,21,Iceland,68,67,73,39,32,0,substitute,17,3900000,PFC CSKA Moscow
A. Bernede,676000,21,France,58,67,73,71,64,0,midfielder,28,3600000,Red Bull Salzburg
B. Kraev,780000,23,Bulgaria,63,66,74,46,39,0,substitute,15,3500000,Midtjylland
N. Rusyn,26000,21,Ukraine,71,47,66,16,16,0,substitute,70,3600000,Dynamo Kyiv
N. Rasskazov,26000,22,Russia,47,64,71,74,71,0,midfielder,92,3100000,Spartak Moscow
J. Andersson,728000,23,Sweden,47,65,70,67,65,0,defender,6,3000000,Midtjylland
K. Kuchaev,26000,22,Russia,58,67,70,59,53,0,midfielder,20,3300000,PFC CSKA Moscow
D. Vavro,1248000,24,Slovakia,49,51,56,70,69,0,substitute,93,3000000,Lazio
M. Ashimeru,780000,22,Ghana,64,68,74,63,58,0,substitute,4,3300000,Red Bull Salzburg
M. Miazga,1820000,24,United States,26,45,57,72,73,0,midfielder,38,2900000,Chelsea
E. Horvath,572000,25,United States,0,0,0,9,8,62,goalkeeper,22,2300000,Club Brugge
E. TaSdemir,1456000,24,Turkey,59,65,73,71,68,0,substitute,55,2700000,Galatasaray
I. Kutepov,26000,26,Russia,47,55,46,73,72,0,substitute,29,2600000,Spartak Moscow
D. Zhivoglyadov,26000,26,Russia,51,61,69,68,70,0,defender,2,2600000,Lokomotiv Moscow
J. Akpa Akpro,1612000,27,Ivory Coast,67,70,71,70,69,0,substitute,37,2700000,Lazio
A. Hassan,26000,27,Egypt,73,52,65,23,25,0,substitute,9,2800000,Olympiacos
A. Walke,416000,37,Germany,0,0,0,13,22,69,goalkeeper,33,240000,Red Bull Salzburg
K. Nababkin,26000,33,Russia,60,62,60,75,74,0,substitute,14,1100000,PFC CSKA Moscow
A. Eschenko,26000,36,Russia,57,66,65,72,71,0,substitute,38,425000,Spartak Moscow
S. Rajkovic,26000,31,Serbia,38,51,52,68,69,0,substitute,41,1800000,Lokomotiv Moscow
Dentinho,26000,31,Brazil,67,67,74,46,42,0,substitute,9,2100000,Shakhtar Donetsk
R. Mirzov,26000,27,Russia,64,65,76,47,61,0,substitute,77,2500000,Spartak Moscow
N. Williams,572000,19,Wales,36,60,68,66,63,0,substitute,76,1500000,Liverpool
P. Gueye,676000,21,France,45,61,66,70,65,0,substitute,22,3700000,Marseille
V. Supryaga,26000,20,Ukraine,70,46,72,16,14,0,attacker,89,3900000,Dynamo Kyiv
L. Reis,2288000,20,Netherlands,59,64,70,70,62,0,substitute,46,3400000,Barcelona
A. Gaich,26000,21,Argentina,69,55,66,26,28,0,substitute,21,3500000,PFC CSKA Moscow
Diogo Costa,208000,20,Portugal,0,0,0,13,11,71,goalkeeper,31,2600000,Porto
C. De Ketelaere,468000,19,Belgium,62,72,73,57,48,0,substitute,90,3100000,Club Brugge
Manu Sanchez,624000,19,Spain,40,59,66,70,69,0,substitute,35,2800000,Atletico Madrid
T. Adarabioyo,2080000,22,England,31,55,55,70,69,0,substitute,24,2800000,Manchester City
Alex Pozo,468000,21,Spain,69,67,74,70,62,0,substitute,17,2800000,Sevilla
Miranda,2028000,20,Spain,40,60,66,69,68,0,substitute,27,2800000,Barcelona
M. Camara,520000,20,Mali,54,64,73,71,68,0,substitute,19,2800000,Red Bull Salzburg
Diogo Queiros,260000,21,Portugal,36,43,58,72,70,0,substitute,58,2600000,Porto
K. Bistrovic,26000,22,Croatia,63,69,68,72,71,0,substitute,25,2600000,PFC CSKA Moscow
M. Duelund,26000,23,Denmark,66,68,73,43,38,0,substitute,99,2600000,Dynamo Kyiv
Matheus Pereira,2704000,22,Brazil,59,67,77,40,38,0,substitute,36,2600000,Barcelona
Juan Soriano,416000,22,Spain,0,0,0,10,14,67,goalkeeper,28,1900000,Sevilla
L. Randelovic,26000,22,Serbia,65,67,70,26,29,0,midfielder,97,2500000,Olympiacos
D. Cools,624000,24,Belgium,56,65,67,68,70,0,substitute,2,2200000,Midtjylland
L. cêordevic,26000,25,Montenegro,68,62,70,21,17,0,substitute,22,2300000,Lokomotiv Moscow
N. Haas,1144000,24,Switzerland,58,70,72,61,61,0,substitute,42,2200000,Atalanta
M. Malyshev,26000,27,Ukraine,65,66,68,68,63,0,substitute,17,1900000,Shakhtar Donetsk
D. Khocholava,26000,27,Georgia,47,49,56,70,73,0,substitute,5,1900000,Shakhtar Donetsk
O. Shevchenko,26000,28,Ukraine,0,0,0,18,16,71,goalkeeper,1,1600000,Shakhtar Donetsk
Cafu,26000,27,Portugal,69,63,67,69,67,0,substitute,8,1900000,Olympiacos
L. Grant,1196000,37,England,0,0,0,13,19,67,goalkeeper,13,180000,Manchester United
A. Rebrov,26000,36,Russia,0,0,0,15,12,74,goalkeeper,32,300000,Spartak Moscow
S. Carson,1924000,34,England,0,0,0,15,20,71,goalkeeper,33,775000,Manchester City
A. Kravets,26000,31,Ukraine,70,57,62,32,34,0,substitute,21,1600000,Dynamo Kyiv
Fernando Andrade,364000,27,Brazil,71,65,67,20,18,0,substitute,60,1900000,Porto
J. Bellingham,156000,17,England,65,64,73,67,51,0,midfielder,22,2100000,Borussia Dortmund
K. Adeyemi,260000,18,Germany,68,63,75,19,25,0,substitute,27,2200000,Red Bull Salzburg
Gustavo Maia,1716000,19,Brazil,68,63,72,17,21,0,substitute,37,2300000,Barcelona
J. Beyer,520000,20,Germany,34,55,62,74,72,0,substitute,15,2100000,Borussia Mionchengladbach
H. Abe,2184000,21,Japan,61,57,75,25,15,0,substitute,32,2000000,Barcelona
I. Diveev,26000,20,Russia,34,57,56,71,70,0,defender,78,1900000,PFC CSKA Moscow
Mollejo,624000,19,Spain,64,64,69,44,47,0,substitute,27,2000000,Atletico Madrid
Vitao,26000,20,Brazil,33,48,42,71,73,0,substitute,49,1900000,Shakhtar Donetsk
Neymar Jr,14040000,28,Brazil,86,84,88,30,29,0,attacker,10,90000000,Paris Saint-Germain
R. Manaj,2548000,23,Albania,68,53,68,14,21,0,substitute,41,1600000,Barcelona
M. Lovera,26000,21,Argentina,59,63,76,25,28,0,substitute,22,1600000,Olympiacos
A. Dreyer,572000,22,Denmark,66,65,72,36,35,0,midfielder,36,1600000,Midtjylland
M. Ake,572000,19,France,66,64,73,39,40,0,substitute,23,1600000,Marseille
P. Sandler,1768000,23,Netherlands,39,62,69,74,68,0,substitute,34,1400000,Manchester City
G. Nyamsi,780000,23,France,33,47,48,67,60,0,substitute,4,1400000,Rennes
I. Grbic,676000,24,Croatia,0,0,0,11,12,68,goalkeeper,1,1200000,Atletico Madrid
K. Mohammed,26000,24,Ghana,33,56,62,71,70,0,substitute,6,1300000,Dynamo Kyiv
M. Berisha,624000,22,Germany,68,62,69,24,22,0,substitute,8,1500000,Red Bull Salzburg
A. Guliev,26000,23,Russia,62,69,74,63,67,0,substitute,5,1500000,Spartak Moscow
B. Zaynutdinov,26000,22,Kazakhstan,67,65,68,57,64,0,substitute,19,1400000,PFC CSKA Moscow
B. Akintola,624000,24,Nigeria,56,58,73,49,47,0,substitute,42,1400000,Midtjylland
G. Tigiev,26000,25,Russia,48,63,68,63,67,0,substitute,17,1200000,Spartak Moscow
O. Ba,26000,24,Senegal,30,42,47,70,66,0,defender,24,1300000,Olympiacos
M. Lysov,26000,22,Russia,44,61,66,68,64,0,substitute,84,1200000,Lokomotiv Moscow
S. Khaoui,832000,25,Tunisia,64,70,72,32,38,0,substitute,24,1400000,Marseille
A. Reca,1092000,25,Poland,57,63,69,64,62,0,substitute,44,1300000,Atalanta
A. aalik,1248000,26,Turkey,40,53,58,70,69,0,substitute,5,1100000,Galatasaray
R. Schwartz,728000,30,Denmark,71,59,65,23,25,0,attacker,89,1000000,Midtjylland
G. Reyna,104000,17,United States,59,64,76,23,24,0,substitute,32,1800000,Borussia Dortmund
N. Umyarov,26000,20,Russia,47,63,68,66,63,0,substitute,54,1900000,Spartak Moscow
J. Zirkzee,780000,19,Netherlands,64,49,69,14,16,0,substitute,14,1900000,Bayern Munich
R. Bellanova,624000,20,Italy,31,53,61,70,67,0,substitute,22,1800000,Atalanta
L. Traore,208000,19,Burkina Faso,68,52,69,22,25,0,substitute,23,1900000,Ajax
A. Pinamonti,1248000,21,Italy,70,45,67,19,19,0,substitute,99,1700000,Inter Milan
L. Balerdi,468000,21,Argentina,30,52,59,70,66,0,substitute,5,1600000,Marseille
Javi Hernandez,1768000,22,Spain,47,62,66,70,69,0,substitute,33,1600000,Real Madrid
Hugo Vallejo,1664000,20,Spain,65,65,71,36,35,0,substitute,31,1700000,Real Madrid
Hugo Duro,1872000,20,Spain,68,43,70,17,20,0,substitute,32,1600000,Real Madrid
Marquinhos Cipriano,26000,21,Brazil,54,62,70,69,68,0,substitute,28,1500000,Shakhtar Donetsk
Marvin,1872000,20,Spain,61,60,70,21,22,0,substitute,28,1600000,Real Madrid
S. Kiyine,884000,22,Morocco,57,65,76,67,66,0,substitute,51,1500000,Lazio
C. Rocchia,572000,22,France,43,57,62,67,68,0,substitute,20,1400000,Marseille
V. Bondar,26000,21,Ukraine,25,38,48,74,70,0,substitute,77,1400000,Shakhtar Donetsk
F. Passlack,832000,22,Germany,59,66,72,67,64,0,substitute,30,1400000,Borussia Dortmund
J. Ekkelenkamp,260000,20,Netherlands,65,63,67,62,55,0,substitute,18,1500000,Ajax
Josep Martanez,572000,22,Spain,0,0,0,13,15,67,goalkeeper,33,1100000,RB Leipzig
P. Dziczek,780000,22,Poland,47,60,65,63,61,0,substitute,52,1300000,Lazio
Matheus Fernandes,1924000,22,Brazil,58,63,72,71,70,0,substitute,34,1400000,Barcelona
Murilo,26000,23,Brazil,36,49,52,73,69,0,defender,27,1300000,Lokomotiv Moscow
B. Radunovic,572000,24,Serbia,0,0,0,13,14,69,goalkeeper,45,1000000,Atalanta
I. Saponjic,884000,22,Serbia,67,45,63,33,24,0,substitute,17,1300000,Atletico Madrid
J. Gomez,4836000,23,England,30,66,69,85,82,0,defender,12,31000000,Liverpool
H. Cuypers,26000,23,Belgium,69,60,64,18,13,0,substitute,20,1200000,Olympiacos
Gerson Rodrigues,26000,25,Luxembourg,64,57,64,46,31,0,substitute,22,1100000,Dynamo Kyiv
B. Allain,26000,28,France,0,0,0,15,12,65,goalkeeper,16,775000,Olympiacos
Bruno Felipe,26000,26,Brazil,62,63,70,19,25,0,substitute,18,1100000,Olympiacos
A. Papadopoulos,26000,35,Greece,52,56,56,70,66,0,substitute,34,275000,Olympiacos
F. ozturk,832000,33,Turkey,0,0,0,23,19,69,goalkeeper,99,475000,Galatasaray
A. Kochenkov,26000,33,Russia,0,0,0,14,16,67,goalkeeper,77,475000,Lokomotiv Moscow
S. van den Berg,260000,18,Netherlands,30,55,63,67,59,0,substitute,72,1000000,Liverpool
E. Salcedo,572000,18,Italy,63,57,73,18,20,0,substitute,19,1600000,Inter Milan
K. Scherpen,156000,20,Netherlands,0,0,0,11,10,66,goalkeeper,16,1400000,Ajax
O. Kossounou,208000,19,Ivory Coast,28,55,65,68,67,0,substitute,5,1500000,Club Brugge
R. Araujo,1248000,21,Uruguay,30,50,48,70,63,0,substitute,33,1600000,Barcelona
M. Svilar,104000,20,Belgium,0,0,0,21,18,64,goalkeeper,1,1100000,Benfica
J. Cajuste,312000,20,Sweden,54,62,67,67,63,0,substitute,40,1100000,Midtjylland
K. Akturkoglu,728000,21,Turkey,62,59,73,41,42,0,substitute,32,1200000,Galatasaray
L. Perrin,416000,21,France,30,49,51,71,67,0,substitute,32,1100000,Marseille
M. Anderson,468000,22,Iceland,57,58,69,41,40,0,attacker,34,1100000,Midtjylland
Y. Gboho,416000,19,France,62,63,73,36,43,0,substitute,19,1100000,Rennes
V. Lystsov,26000,24,Russia,46,49,57,65,63,0,substitute,4,975000,Lokomotiv Moscow
N. Aguerd,572000,24,Morocco,45,52,57,69,67,0,defender,6,950000,Rennes
O. Andrievskyi,26000,26,Ukraine,51,61,50,66,68,0,substitute,18,900000,Dynamo Kyiv
M. James,416000,26,Canada,41,51,52,66,62,0,substitute,25,850000,Midtjylland
M. Grun,416000,33,Germany,0,0,0,14,13,67,goalkeeper,31,400000,Borussia Mionchengladbach
S. Esposito,260000,17,Italy,66,61,67,41,29,0,substitute,30,1300000,Inter Milan
Felix Correia,624000,19,Portugal,58,57,73,38,32,0,substitute,45,1400000,Juventus
E. Laird,364000,18,England,55,58,67,64,63,0,substitute,41,1200000,Manchester United
Riquelme,468000,20,Spain,62,57,70,39,38,0,substitute,3,1400000,Atletico Madrid
Mateu Morey,468000,20,Spain,45,62,73,62,64,0,substitute,2,1300000,Borussia Dortmund
M. Carnesecchi,312000,20,Italy,0,0,0,13,12,66,goalkeeper,73,1200000,Atalanta
N. Phillips,1144000,23,England,29,49,44,71,70,0,substitute,47,1100000,Liverpool
C. Capone,572000,21,Italy,59,60,73,14,17,0,substitute,50,1400000,Atalanta
B. Soppy,156000,18,France,39,56,64,64,62,0,substitute,34,1200000,Rennes
O. Solet,260000,20,France,39,53,61,67,62,0,substitute,22,1300000,Red Bull Salzburg
J. Adamu,260000,19,Austria,66,49,65,13,12,0,substitute,9,1400000,Red Bull Salzburg
P. Maslov,26000,20,Russia,33,56,59,64,61,0,defender,39,1100000,Spartak Moscow
M. Smith,1040000,20,Wales,53,64,69,58,57,0,substitute,45,1100000,Manchester City
D. Kotarski,104000,20,Croatia,0,0,0,14,10,68,goalkeeper,33,925000,Ajax
V. Lisakovich,26000,22,Belarus,66,57,67,19,20,0,substitute,88,1100000,Lokomotiv Moscow
San Roman,416000,22,Spain,0,0,0,12,11,64,goalkeeper,30,775000,Atletico Madrid
O. Tymchyk,26000,23,Ukraine,24,48,48,63,64,0,substitute,24,850000,Dynamo Kyiv
L. Clemenza,780000,22,Italy,57,68,74,28,28,0,substitute,56,900000,Juventus
R. Nicolaisen,312000,23,Denmark,41,51,56,67,63,0,substitute,20,825000,Midtjylland
Carlos Miguel,260000,23,Brazil,0,0,0,10,14,64,goalkeeper,31,675000,Red Bull Salzburg
Paulinho,364000,25,Brazil,60,60,66,63,60,0,defender,29,750000,Midtjylland
S. Kaba,416000,25,Guinea,65,54,64,26,24,0,substitute,9,850000,Midtjylland
S. Bolbat,26000,27,Ukraine,59,68,73,62,55,0,substitute,50,650000,Shakhtar Donetsk
M. Andersen,312000,31,Denmark,0,0,0,17,17,67,goalkeeper,31,425000,Midtjylland
D. Di Gennaro,728000,32,Italy,63,69,67,60,47,0,substitute,40,475000,Lazio
L. Vibe,416000,33,Denmark,67,60,67,36,23,0,substitute,26,400000,Midtjylland
M. Icardi,7020000,27,Argentina,85,65,78,24,20,0,attacker,9,45000000,Paris Saint-Germain
Alisson,8320000,27,Brazil,0,0,0,19,16,88,goalkeeper,1,62500000,Liverpool
Bryan Gil,208000,19,Spain,62,59,71,29,22,0,substitute,29,1200000,Sevilla
N. Armini,312000,19,Italy,38,49,53,70,68,0,substitute,13,1100000,Lazio
T. Mengi,312000,18,England,39,54,59,64,57,0,substitute,43,1000000,Manchester United
Y. Badji,156000,18,Senegal,63,52,64,21,18,0,attacker,27,1100000,Club Brugge
L. Karius,3068000,27,Germany,0,0,0,11,13,76,goalkeeper,22,9000000,Liverpool
J. Sanabria,416000,20,Uruguay,57,63,68,45,47,0,substitute,44,1200000,Atletico Madrid
Valera,208000,18,Spain,56,61,67,18,14,0,substitute,48,1100000,Atletico Madrid
Jese,2496000,27,Spain,68,69,77,23,12,0,substitute,35,3300000,Paris Saint-Germain
O. Syrota,26000,20,Ukraine,22,37,43,65,66,0,substitute,34,1100000,Dynamo Kyiv
C. Gomes,572000,19,France,54,60,63,66,64,0,substitute,46,950000,Manchester City
S. Boey,260000,19,France,41,58,65,62,65,0,substitute,2,925000,Rennes
N. Dyhr,156000,19,Denmark,50,58,62,65,61,0,substitute,44,850000,Midtjylland
J. Timber,104000,19,Netherlands,40,55,63,65,67,0,substitute,2,875000,Ajax
A. Poulsen,312000,20,Denmark,44,57,65,64,59,0,substitute,40,850000,Borussia Mionchengladbach
Ricard,364000,20,Spain,44,49,56,58,62,0,substitute,42,850000,Atletico Madrid
Javi Daaz,208000,23,Spain,0,0,0,11,14,63,goalkeeper,31,675000,Sevilla
O. Pikhalyonok,26000,23,Ukraine,56,61,64,59,53,0,substitute,76,825000,Shakhtar Donetsk
D. Rybchinskiy,26000,21,Russia,55,65,66,49,59,0,midfielder,94,850000,Lokomotiv Moscow
H. Rafia,572000,21,Tunisia,65,63,71,33,19,0,substitute,48,850000,Juventus
I. Shkurin,26000,20,Belarus,64,56,62,32,26,0,substitute,99,850000,PFC CSKA Moscow
D. Peeters,520000,21,Belgium,49,65,53,63,70,0,substitute,40,775000,Juventus
O. Kocuk,468000,24,Turkey,0,0,0,10,11,62,goalkeeper,34,550000,Galatasaray
D. Anderson,572000,25,Netherlands,38,55,64,60,62,0,substitute,8,625000,Lazio
T. Antalyali,728000,25,Turkey,62,65,63,63,57,0,substitute,4,675000,Galatasaray
Adrian,2704000,33,Spain,0,0,0,19,14,72,goalkeeper,13,4200000,Liverpool
K. Taylor,52000,18,Netherlands,60,70,66,57,62,0,substitute,25,925000,Ajax
Y. Akgun,364000,19,Turkey,62,56,67,22,19,0,substitute,35,975000,Galatasaray
M. Ignatov,26000,20,Russia,51,65,67,53,54,0,substitute,22,1000000,Spartak Moscow
D. Sikan,26000,19,Ukraine,65,43,64,19,11,0,substitute,45,975000,Shakhtar Donetsk
M. Glushenkov,26000,20,Russia,61,58,65,28,27,0,substitute,15,1000000,Spartak Moscow
S. Magkeev,26000,21,Russia,34,45,42,66,64,0,substitute,37,925000,Lokomotiv Moscow
A. Kol,416000,19,Turkey,63,57,66,17,21,0,substitute,31,975000,Galatasaray
B. Adekanye,468000,21,Netherlands,59,55,68,35,30,0,substitute,34,1000000,Lazio
Andre Anderson,468000,20,Italy,59,60,68,20,15,0,substitute,28,1000000,Lazio
M. De Cuyper,156000,19,Belgium,62,65,65,64,62,0,substitute,55,900000,Club Brugge
A. Kalimuendo,364000,18,France,66,49,64,21,17,0,substitute,29,1100000,Paris Saint-Germain
Borja Garces,416000,20,Spain,67,46,63,27,24,0,substitute,31,875000,Atletico Madrid
L. Da Cunha,260000,19,France,60,59,68,38,32,0,substitute,32,850000,Rennes
O. Urunov,26000,19,Uzbekistan,55,61,68,40,41,0,substitute,20,850000,Spartak Moscow
J. Latibeaudiere,728000,20,England,37,51,57,65,64,0,substitute,52,700000,Manchester City
L. Brassier,312000,20,France,35,52,62,67,64,0,substitute,24,650000,Rennes
F. Chabrolle,364000,22,France,57,63,69,38,36,0,substitute,29,700000,Marseille
A. Phliponeau,260000,20,France,44,63,60,60,62,0,substitute,34,650000,Marseille
Belman,624000,21,Spain,0,0,0,11,14,62,goalkeeper,35,550000,Real Madrid
G. Frabotta,468000,21,Italy,48,56,65,67,73,0,midfielder,38,625000,Juventus
O. Kristinsson,26000,31,Iceland,0,0,0,15,19,59,goalkeeper,31,300000,Olympiacos
L. Pirola,208000,18,Italy,41,47,51,67,66,0,substitute,31,775000,Inter Milan
K. Navas,5720000,33,Costa Rica,0,0,0,14,14,82,goalkeeper,1,27000000,Paris Saint-Germain
L. Agoume,260000,18,France,54,60,66,54,44,0,substitute,32,750000,Inter Milan
A. Dedic,26000,17,Bosnia Herzegovina,56,63,66,62,57,0,substitute,70,675000,Red Bull Salzburg
E. Galbraith,416000,19,Northern Ireland,56,60,65,61,60,0,substitute,54,750000,Manchester United
J. Olschowsky,31200,18,Germany,0,0,0,11,11,65,goalkeeper,41,625000,Borussia Mionchengladbach
Altube,572000,20,Spain,0,0,0,14,14,59,goalkeeper,26,675000,Real Madrid
A. Trubin,26000,18,Ukraine,0,0,0,11,11,69,goalkeeper,81,625000,Shakhtar Donetsk
L. Samardzic,156000,18,Germany,61,59,71,24,22,0,substitute,20,750000,RB Leipzig
J. Kadile,104000,17,France,63,52,67,18,20,0,substitute,36,725000,Rennes
K. Kurt,104000,18,Germany,45,58,67,64,62,0,substitute,33,700000,Borussia Mionchengladbach
T. Raschl,312000,20,Germany,44,61,66,58,59,0,substitute,37,775000,Borussia Dortmund
V. Karpov,26000,17,Russia,31,54,55,66,64,0,substitute,62,675000,PFC CSKA Moscow
N. Seiwald,156000,19,Austria,55,63,63,62,56,0,substitute,13,775000,Red Bull Salzburg
P. Bonet,26000,17,DR Congo,0,0,0,13,12,64,goalkeeper,30,500000,Rennes
M. Mbaye,104000,22,Senegal,0,0,0,11,11,55,goalkeeper,51,525000,Porto
K. Bennetts,260000,21,England,59,58,68,50,43,0,substitute,37,625000,Borussia Mionchengladbach
G. Rutter,208000,18,France,63,54,65,22,17,0,substitute,35,600000,Rennes
R. Tugarev,26000,21,Russia,59,62,59,48,57,0,substitute,67,625000,Lokomotiv Moscow
E. Colley,416000,20,Gambia,66,46,63,14,17,0,substitute,90,650000,Atalanta
Pepe Mena,208000,22,Spain,51,61,59,69,65,0,substitute,32,550000,Sevilla
I. Gaponov,26000,22,Russia,28,38,40,64,71,0,substitute,56,525000,Spartak Moscow
A. Okosun,312000,26,Denmark,54,58,61,57,53,0,substitute,57,425000,Midtjylland
G. Innocent,260000,20,France,0,0,0,13,12,61,goalkeeper,40,450000,Paris Saint-Germain
L. Sucçic,31200,17,Croatia,65,66,66,52,42,0,substitute,21,600000,Red Bull Salzburg
Sergio Rico,2548000,26,Spain,0,0,0,11,11,74,goalkeeper,16,7500000,Paris Saint-Germain
I. Van der Brempt,52000,18,Belgium,30,50,55,59,61,0,substitute,28,575000,Club Brugge
